INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,ITC       ,28/10/2021,00000240.70,00000241.15,00000236.25,00000236.85,000000170240000,    15958466240.00,         66928000,            20915,            14775
FUTSTK    ,ITC       ,25/11/2021,00000256.60,00000256.60,00000237.30,00000237.85,000000004531200,      383842400.00,          1603200,              501,              480
FUTSTK    ,JINDALSTEL,30/09/2021,00000383.90,00000395.20,00000382.20,00000389.00,000000003635000,     4464377750.00,         11487500,             4595,             4006
FUTSTK    ,JINDALSTEL,28/10/2021,00000384.90,00000396.65,00000382.90,00000390.20,000000040225000,    10749563750.00,         27545000,            11018,             9278
FUTSTK    ,JINDALSTEL,25/11/2021,00000388.45,00000398.00,00000385.05,00000392.05,000000000417500,      169263250.00,           432500,              173,              172
FUTSTK    ,JSWSTEEL  ,30/09/2021,00000680.75,00000681.95,00000666.85,00000669.35,000000003404700,     4837977450.00,          7172550,             5313,             3766
FUTSTK    ,JSWSTEEL  ,28/10/2021,00000684.10,00000684.10,00000669.60,00000671.95,000000045366750,     8460899550.00,         12506400,             9264,             7119
FUTSTK    ,JSWSTEEL  ,25/11/2021,00000684.75,00000685.30,00000672.70,00000674.60,000000000356400,       83305867.50,           122850,              091,              091
FUTSTK    ,JUBLFOOD  ,30/09/2021,00004096.05,00004120.80,00004034.80,00004057.05,000000000467000,     2481535750.00,           611000,             2444,             2160
FUTSTK    ,JUBLFOOD  ,28/10/2021,00004110.00,00004130.10,00004046.90,00004066.05,000000001588750,     3002461387.50,           737000,             2948,             2583
FUTSTK    ,JUBLFOOD  ,25/11/2021,00004149.30,00004149.30,00004070.00,00004075.55,000000000016000,       23550812.50,             5750,              023,              023
FUTSTK    ,KOTAKBANK ,30/09/2021,00002023.80,00002031.80,00001998.75,00002005.90,000000002697200,     7651224380.00,          3796800,             9492,             7944
FUTSTK    ,KOTAKBANK ,28/10/2021,00002028.75,00002037.00,00002004.50,00002011.55,000000010862400,    10458725980.00,          5181200,            12953,            11014
FUTSTK    ,KOTAKBANK ,25/11/2021,00002026.05,00002038.40,00002012.65,00002021.80,000000000065600,       80213660.00,            39600,              099,              096
FUTSTK    ,L&TFH     ,30/09/2021,00000090.50,00000092.40,00000089.90,00000091.00,000000005184844,     2139250571.20,         23496892,             2633,             2238
FUTSTK    ,L&TFH     ,28/10/2021,00000091.00,00000092.80,00000090.25,00000091.45,000000060370860,     4405437903.20,         48144980,             5395,             4654
FUTSTK    ,L&TFH     ,25/11/2021,00000091.05,00000093.00,00000090.75,00000091.80,000000001936508,       63267590.40,           687148,              077,              074
FUTSTK    ,LALPATHLAB,30/09/2021,00003721.35,00003735.40,00003641.15,00003673.55,000000000058250,      805488062.50,           219000,              876,              811
FUTSTK    ,LALPATHLAB,28/10/2021,00003725.80,00003730.00,00003646.05,00003667.50,000000000564250,     1077033712.50,           292750,             1171,             1054
FUTSTK    ,LALPATHLAB,25/11/2021,00003690.70,00003690.70,00003650.00,00003671.05,000000000024000,       15604100.00,             4250,              017,              016
FUTSTK    ,LICHSGFIN ,30/09/2021,00000416.20,00000436.20,00000416.20,00000427.15,000000003498000,     2682536800.00,          6218000,             3109,             2847
FUTSTK    ,LICHSGFIN ,28/10/2021,00000435.55,00000438.00,00000428.00,00000429.25,000000017852000,     3913046700.00,          9040000,             4520,             4089
FUTSTK    ,LICHSGFIN ,25/11/2021,00000438.00,00000438.60,00000430.00,00000430.95,000000000608000,       90241800.00,           208000,              104,              103
FUTSTK    ,LT        ,30/09/2021,00001720.25,00001732.00,00001695.50,00001700.30,000000001822175,     5031358013.75,          2934225,             5103,             3964
FUTSTK    ,LT        ,28/10/2021,00001723.65,00001737.60,00001701.25,00001707.50,000000011096925,     8288195877.50,          4821375,             8385,             6421
FUTSTK    ,LT        ,25/11/2021,00001722.05,00001737.00,00001702.60,00001708.15,000000000212175,      189226347.50,           109825,              191,              190
FUTSTK    ,LTI       ,30/09/2021,00005773.50,00005872.00,00005717.90,00005769.75,000000000185250,     1158087592.50,           199800,             1332,             1140
FUTSTK    ,LTI       ,28/10/2021,00005779.00,00005875.10,00005723.50,00005775.75,000000000568200,     2007228037.50,           346050,             2307,             2043
FUTSTK    ,LTI       ,25/11/2021,00005764.80,00005880.00,00005764.80,00005790.00,000000000007800,       11360700.00,             1950,              013,              013
FUTSTK    ,LTTS      ,30/09/2021,00004764.75,00004764.75,00004603.80,00004706.80,000000000155000,     1208270810.00,           257800,             1289,             1176
FUTSTK    ,LTTS      ,28/10/2021,00004768.00,00004781.00,00004606.25,00004714.90,000000000468000,     2179640830.00,           464400,             2322,             2054
FUTSTK    ,LTTS      ,25/11/2021,00004658.10,00004725.00,00004634.05,00004718.70,000000000009000,       14047240.00,             3000,              015,              015
FUTSTK    ,LUPIN     ,30/09/2021,00000952.55,00000961.75,00000946.45,00000951.25,000000001737400,     4019900495.00,          4210900,             4954,             4377
FUTSTK    ,LUPIN     ,28/10/2021,00000955.45,00000965.50,00000950.50,00000955.25,000000011039800,     5851000202.50,          6107250,             7185,             6421
FUTSTK    ,LUPIN     ,25/11/2021,00000960.90,00000968.60,00000956.30,00000959.05,000000000584800,      139058427.50,           144500,              170,              161
FUTSTK    ,M&M       ,30/09/2021,00000809.80,00000816.30,00000798.40,00000800.50,000000002881900,     2359853720.00,          2919700,             4171,             3601
FUTSTK    ,M&M       ,28/10/2021,00000812.25,00000819.00,00000803.10,00000804.90,000000012645500,     3392965485.00,          4183200,             5976,             5246
FUTSTK    ,M&M       ,25/11/2021,00000816.00,00000821.50,00000806.90,00000808.10,000000000189700,       52406165.00,            64400,              092,              091
FUTSTK    ,M&MFIN    ,30/09/2021,00000183.40,00000186.80,00000183.00,00000184.85,000000003948000,     1289835800.00,          6992000,             1748,             1261
FUTSTK    ,M&MFIN    ,28/10/2021,00000183.55,00000187.50,00000183.45,00000185.70,000000024972000,     2256350600.00,         12176000,             3044,             2346
FUTSTK    ,M&MFIN    ,25/11/2021,00000184.95,00000187.90,00000184.85,00000186.20,000000000468000,       24599200.00,           132000,              033,              033
FUTSTK    ,MANAPPURAM,30/09/2021,00000173.35,00000173.80,00000168.95,00000169.40,000000001812000,     1475792700.00,          8634000,             1439,             1334
FUTSTK    ,MANAPPURAM,28/10/2021,00000174.00,00000174.45,00000169.45,00000169.95,000000019830000,     1961657400.00,         11430000,             1905,             1763
FUTSTK    ,MANAPPURAM,25/11/2021,00000173.65,00000173.65,00000170.00,00000170.20,000000001020000,       49320600.00,           288000,              048,              048
